Classification,Select your age scale,How long have you been working (Freelancing/job)?,Have you achieved your goal by coming to this field?,Have your field of choice helped you to set a good routine?,Have you learnt anything (i.e. short courses/certifications) else than you already knew before starting (freelancing/job)?,How much you have taken help from professional tools in your field of choice (freelancing/job)?,How much is your field (freelancing/job) helping you to reach your full potentials/energy?,Have this field helped you to learn more knowledge as compared to that you have already known?,Do you think that choosing your field has made you competent?,Do you think that choosing your field has taught you teamwork?,"How much do you consider your health, income & routine to be secure because of (freelancing / job)?",How much is your self-esteem or self-respect safe because of (freelancing / job)?,What is your average/estimated salary (per month)?
Freelancing,26 to 30,Less than 1 year,Much better,Much better,Every time,Sometimes,Much better,Always,Every time,Occasionally/Sometimes,Much better,Somewhat worse,"less than 35,000 pkr"
Job,more than 35,more than 4 year,Much better,Much better,Every time,Often,Somewhat better,Often,Almost every time,Every time,Much better,Much better,"less than 35,000 pkr"
Freelancing,21 to 25,2 to 3 year,Much better,Somewhat worse,Every time,Always,Somewhat better,Always,Every time,Almost never,Stayed the same,Much better,"less than 35,000 pkr"
Job,more than 35,more than 4 year,Much better,Much better,Occasionally/Sometimes,Sometimes,Stayed the same,Rarely,Occasionally/Sometimes,Every time,Much better,Stayed the same,"71,000 to 100,000 pkr"
Job,31 to 35,3 to 4 year,Much better,Much better,Almost never,Sometimes,Stayed the same,Sometimes,Occasionally/Sometimes,Every time,Much better,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,26 to 30,2 to 3 year,Much better,Somewhat better,Every time,Always,Somewhat better,Always,Every time,Never,Stayed the same,Somewhat better,"71,000 to 100,000 pkr"
Job,31 to 35,3 to 4 year,Much better,Much better,Occasionally/Sometimes,Sometimes,Stayed the same,Sometimes,Occasionally/Sometimes,Every time,Much better,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,Less than 20,Less than 1 year,Much better,Stayed the same,Every time,Always,Somewhat better,Always,Every time,Occasionally/Sometimes,Stayed the same,Much better,"36,000 to 70,000 pkr"
Job,26 to 30,2 to 3 year,Much better,Much better,Occasionally/Sometimes,Sometimes,Stayed the same,Sometimes,Almost every time,Every time,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,Less than 20,Less than 1 year,Somewhat better,Somewhat better,Every time,Often,Somewhat better,Always,Almost never,Almost never,Much better,Somewhat worse,"less than 35,000 pkr"
Job,31 to 35,2 to 3 year,Somewhat  worse,Much better,Almost every time,Sometimes,Stayed the same,Rarely,Occasionally/Sometimes,Never,Somewhat better,Stayed the same,"less than 35,000 pkr"
Job,21 to 25,1 to 2 year,Stayed the same,Much better,Every time,Often,Somewhat better,Rarely,Almost never,Almost never,Somewhat better,Much better,"less than 35,000 pkr"
Freelancing,Less than 20,1 to 2 year,Much better,Much better,Almost every time,Often,Somewhat better,Often,Occasionally/Sometimes,Almost every time,Somewhat better,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,21 to 25,1 to 2 year,Stayed the same,Stayed the same,Occasionally/Sometimes,Always,Somewhat better,Sometimes,Occasionally/Sometimes,Almost every time,Somewhat better,Somewhat better,"less than 35,000 pkr"
Freelancing,21 to 25,2 to 3 year,Somewhat better,Somewhat better,Occasionally/Sometimes,Sometimes,Somewhat better,Always,Almost every time,Almost every time,Stayed the same,Stayed the same,"less than 35,000 pkr"
Job,21 to 25,2 to 3 year,Somewhat better,Somewhat better,Almost every time,Often,Somewhat better,Sometimes,Occasionally/Sometimes,Occasionally/Sometimes,Stayed the same,Somewhat worse,"71,000 to 100,000 pkr"
Job,26 to 30,2 to 3 year,Somewhat  worse,Stayed the same,Almost every time,Often,Somewhat better,Sometimes,Almost every time,Almost every time,Stayed the same,Somewhat better,"less than 35,000 pkr"
Job,26 to 30,1 to 2 year,Somewhat  worse,Somewhat better,Almost every time,Always,Much better,Always,Occasionally/Sometimes,Almost every time,Much better,Somewhat better,"36,000 to 70,000 pkr"
Job,26 to 30,1 to 2 year,Somewhat better,Stayed the same,Almost every time,Often,Somewhat better,Sometimes,Almost every time,Almost every time,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Job,26 to 30,3 to 4 year,Somewhat better,Stayed the same,Almost never,Rarely,Somewhat better,Sometimes,Almost never,Occasionally/Sometimes,Stayed the same,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,26 to 30,2 to 3 year,Stayed the same,Stayed the same,Almost every time,Often,Stayed the same,Sometimes,Almost every time,Almost every time,Somewhat better,Somewhat better,"71,000 to 100,000 pkr"
Job,21 to 25,1 to 2 year,Somewhat  worse,Stayed the same,Almost every time,Rarely,Somewhat better,Always,Almost every time,Almost never,Somewhat better,Somewhat better,"less than 35,000 pkr"
Job,26 to 30,1 to 2 year,Stayed the same,Much better,Every time,Always,Stayed the same,Often,Almost every time,Almost every time,Stayed the same,Stayed the same,"71,000 to 100,000 pkr"
Freelancing,26 to 30,2 to 3 year,Stayed the same,Somewhat better,Occasionally/Sometimes,Always,Stayed the same,Often,Almost every time,Occasionally/Sometimes,Much better,Somewhat better,"36,000 to 70,000 pkr"
Job,Less than 20,1 to 2 year,Stayed the same,Somewhat better,Almost every time,Rarely,Somewhat better,Never,Every time,Almost every time,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,Less than 1 year,Somewhat better,Somewhat better,Occasionally/Sometimes,Sometimes,Stayed the same,Often,Almost every time,Occasionally/Sometimes,Somewhat better,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,Less than 20,1 to 2 year,Stayed the same,Much better,Every time,Often,Somewhat better,Often,Occasionally/Sometimes,Occasionally/Sometimes,Somewhat better,Somewhat better,"less than 35,000 pkr"
Job,26 to 30,Less than 1 year,Much better,Somewhat better,Every time,Sometimes,Somewhat better,Rarely,Almost every time,Occasionally/Sometimes,Stayed the same,Somewhat better,"less than 35,000 pkr"
Job,21 to 25,2 to 3 year,Somewhat better,Much better,Every time,Often,Somewhat better,Often,Occasionally/Sometimes,Almost every time,Somewhat better,Somewhat better,"36,000 to 70,000 pkr"
Job,26 to 30,1 to 2 year,Somewhat better,Much better,Every time,Always,Much better,Always,Every time,Every time,Somewhat better,Somewhat worse,"71,000 to 100,000 pkr"
Job,Less than 20,1 to 2 year,Much better,Much better,Almost every time,Often,Much better,Often,Occasionally/Sometimes,Almost never,Much better,Somewhat better,"36,000 to 70,000 pkr"
Job,21 to 25,2 to 3 year,Somewhat better,Stayed the same,Almost every time,Rarely,Stayed the same,Often,Almost never,Occasionally/Sometimes,Somewhat better,Somewhat better,"71,000 to 100,000 pkr"
Job,21 to 25,1 to 2 year,Somewhat better,Stayed the same,Occasionally/Sometimes,Always,Somewhat better,Often,Almost every time,Almost every time,Somewhat better,Somewhat better,"36,000 to 70,000 pkr"
Job,21 to 25,1 to 2 year,Stayed the same,Somewhat better,Almost every time,Always,Somewhat better,Sometimes,Almost every time,Occasionally/Sometimes,Somewhat better,Stayed the same,"71,000 to 100,000 pkr"
Freelancing,21 to 25,1 to 2 year,Much better,Somewhat better,Occasionally/Sometimes,Often,Stayed the same,Sometimes,Occasionally/Sometimes,Occasionally/Sometimes,Somewhat better,Stayed the same,"36,000 to 70,000 pkr"
Job,21 to 25,2 to 3 year,Somewhat  worse,Stayed the same,Almost every time,Rarely,Somewhat worse,Sometimes,Almost never,Almost every time,Somewhat better,Somewhat better,"101,000 to 135,000 pkr"
Freelancing,26 to 30,1 to 2 year,Much better,Somewhat better,Occasionally/Sometimes,Always,Somewhat better,Sometimes,Almost every time,Almost every time,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Job,Less than 20,2 to 3 year,Stayed the same,Stayed the same,Occasionally/Sometimes,Often,Somewhat better,Often,Occasionally/Sometimes,Every time,Much better,Stayed the same,"36,000 to 70,000 pkr"
Job,Less than 20,1 to 2 year,Much better,Much better,Occasionally/Sometimes,Sometimes,Stayed the same,Always,Occasionally/Sometimes,Almost every time,Stayed the same,Stayed the same,"71,000 to 100,000 pkr"
Freelancing,26 to 30,1 to 2 year,Stayed the same,Somewhat better,Almost every time,Rarely,Much better,Always,Almost every time,Occasionally/Sometimes,Much better,Stayed the same,"less than 35,000 pkr"
Freelancing,more than 35,more than 4 year,Somewhat better,Somewhat better,Almost every time,Rarely,Stayed the same,Often,Occasionally/Sometimes,Every time,Somewhat worse,Much better,"101,000 to 135,000 pkr"
Freelancing,21 to 25,2 to 3 year,Stayed the same,Somewhat worse,Almost every time,Sometimes,Much better,Often,Almost never,Every time,Much better,Stayed the same,"71,000 to 100,000 pkr"
Job,21 to 25,Less than 1 year,Somewhat better,Much better,Almost every time,Always,Somewhat better,Always,Almost every time,Every time,Somewhat better,Somewhat worse,"36,000 to 70,000 pkr"
Freelancing,26 to 30,2 to 3 year,Somewhat better,Much better,Almost every time,Often,Much better,Always,Almost every time,Every time,Somewhat better,Somewhat better,"more than 135,000 pkr"
Freelancing,26 to 30,Less than 1 year,Stayed the same,Stayed the same,Occasionally/Sometimes,Always,Somewhat better,Often,Almost every time,Occasionally/Sometimes,Much better,Somewhat better,"101,000 to 135,000 pkr"
Job,31 to 35,more than 4 year,Much better,Much better,Every time,Always,Much better,Often,Almost every time,Occasionally/Sometimes,Somewhat worse,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,31 to 35,more than 4 year,Much better,Stayed the same,Almost every time,Often,Somewhat worse,Always,Almost never,Every time,Somewhat worse,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,3 to 4 year,Somewhat better,Somewhat worse,Almost never,Always,Stayed the same,Rarely,Almost every time,Almost every time,Much better,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,26 to 30,2 to 3 year,Somewhat better,Somewhat better,Occasionally/Sometimes,Rarely,Somewhat worse,Rarely,Occasionally/Sometimes,Never,Much better,Somewhat worse,"101,000 to 135,000 pkr"
Job,more than 35,more than 4 year,Stayed the same,Somewhat worse,Every time,Rarely,Stayed the same,Sometimes,Almost every time,Occasionally/Sometimes,Somewhat better,Somewhat worse,"36,000 to 70,000 pkr"
Job,26 to 30,2 to 3 year,Stayed the same,Somewhat worse,Almost every time,Always,Stayed the same,Never,Every time,Never,Much better,Stayed the same,"36,000 to 70,000 pkr"
Job,31 to 35,more than 4 year,Somewhat better,Somewhat worse,Every time,Rarely,Much worse,Always,Every time,Occasionally/Sometimes,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,Less than 20,Less than 1 year,Somewhat better,Much better,Almost every time,Often,Stayed the same,Often,Every time,Almost never,Somewhat better,Much better,"71,000 to 100,000 pkr"
Freelancing,26 to 30,2 to 3 year,Stayed the same,Somewhat better,Almost every time,Sometimes,Stayed the same,Sometimes,Occasionally/Sometimes,Occasionally/Sometimes,Somewhat better,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,21 to 25,1 to 2 year,Much worse,Somewhat better,Occasionally/Sometimes,Rarely,Much worse,Never,Almost every time,Almost every time,Stayed the same,Much worse,"36,000 to 70,000 pkr"
Job,26 to 30,2 to 3 year,Somewhat better,Somewhat better,Almost never,Rarely,Somewhat better,Always,Almost never,Never,Much better,Somewhat worse,"71,000 to 100,000 pkr"
Freelancing,26 to 30,2 to 3 year,Somewhat  worse,Stayed the same,Almost every time,Rarely,Somewhat worse,Always,Occasionally/Sometimes,Almost never,Much better,Somewhat worse,"36,000 to 70,000 pkr"
Job,26 to 30,1 to 2 year,Much better,Stayed the same,Occasionally/Sometimes,Sometimes,Stayed the same,Often,Occasionally/Sometimes,Occasionally/Sometimes,Stayed the same,Somewhat worse,"71,000 to 100,000 pkr"
Job,26 to 30,2 to 3 year,Stayed the same,Somewhat better,Almost every time,Often,Stayed the same,Sometimes,Almost every time,Almost never,Somewhat worse,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,26 to 30,3 to 4 year,Much better,Somewhat better,Almost never,Sometimes,Somewhat better,Sometimes,Never,Every time,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Job,31 to 35,1 to 2 year,Stayed the same,Somewhat better,Occasionally/Sometimes,Sometimes,Stayed the same,Sometimes,Occasionally/Sometimes,Occasionally/Sometimes,Somewhat better,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,2 to 3 year,Somewhat better,Much better,Occasionally/Sometimes,Often,Stayed the same,Often,Occasionally/Sometimes,Almost never,Much worse,Somewhat worse,"36,000 to 70,000 pkr"
Freelancing,26 to 30,1 to 2 year,Stayed the same,Somewhat better,Occasionally/Sometimes,Often,Somewhat better,Often,Every time,Never,Somewhat better,Much better,"less than 35,000 pkr"
Freelancing,31 to 35,2 to 3 year,Stayed the same,Much better,Occasionally/Sometimes,Never,Much better,Often,Almost every time,Occasionally/Sometimes,Stayed the same,Stayed the same,"less than 35,000 pkr"
Freelancing,31 to 35,3 to 4 year,Much better,Much worse,Almost never,Rarely,Much better,Always,Almost never,Occasionally/Sometimes,Much better,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,1 to 2 year,Somewhat better,Somewhat worse,Almost never,Sometimes,Stayed the same,Rarely,Occasionally/Sometimes,Almost every time,Somewhat better,Somewhat better,"36,000 to 70,000 pkr"
Job,31 to 35,2 to 3 year,Much better,Stayed the same,Almost never,Often,Somewhat worse,Rarely,Occasionally/Sometimes,Every time,Much worse,Somewhat worse,"36,000 to 70,000 pkr"
Job,26 to 30,1 to 2 year,Stayed the same,Somewhat better,Occasionally/Sometimes,Often,Somewhat worse,Sometimes,Occasionally/Sometimes,Never,Somewhat worse,Stayed the same,"71,000 to 100,000 pkr"
Job,26 to 30,2 to 3 year,Much worse,Somewhat better,Almost every time,Rarely,Stayed the same,Sometimes,Almost never,Occasionally/Sometimes,Much worse,Somewhat better,"71,000 to 100,000 pkr"
Job,31 to 35,3 to 4 year,Much better,Somewhat better,Never,Always,Stayed the same,Sometimes,Almost every time,Every time,Much better,Somewhat worse,"36,000 to 70,000 pkr"
Freelancing,21 to 25,1 to 2 year,Somewhat  worse,Much better,Occasionally/Sometimes,Often,Somewhat worse,Always,Occasionally/Sometimes,Every time,Much better,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,more than 35,1 to 2 year,Stayed the same,Somewhat better,Every time,Sometimes,Much better,Often,Occasionally/Sometimes,Every time,Somewhat better,Much better,"71,000 to 100,000 pkr"
Freelancing,31 to 35,2 to 3 year,Stayed the same,Somewhat better,Almost every time,Sometimes,Stayed the same,Often,Every time,Every time,Much better,Somewhat worse,"36,000 to 70,000 pkr"
Freelancing,31 to 35,2 to 3 year,Somewhat better,Somewhat worse,Almost every time,Often,Much better,Always,Almost every time,Every time,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,2 to 3 year,Stayed the same,Somewhat better,Every time,Rarely,Much better,Often,Every time,Every time,Somewhat better,Much better,"less than 35,000 pkr"
Freelancing,26 to 30,1 to 2 year,Somewhat better,Stayed the same,Occasionally/Sometimes,Rarely,Stayed the same,Rarely,Never,Almost never,Stayed the same,Somewhat better,"36,000 to 70,000 pkr"
Freelancing,31 to 35,2 to 3 year,Somewhat  worse,Much worse,Occasionally/Sometimes,Often,Somewhat worse,Always,Occasionally/Sometimes,Almost every time,Much better,Stayed the same,"36,000 to 70,000 pkr"
Freelancing,26 to 30,3 to 4 year,Somewhat better,Much worse,Every time,Often,Stayed the same,Always,Almost never,Every time,Much better,Stayed the same,"71,000 to 100,000 pkr"
Freelancing,26 to 30,2 to 3 year,Somewhat better,Much better,Almost never,Sometimes,Stayed the same,Sometimes,Occasionally/Sometimes,Occasionally/Sometimes,Stayed the same,Somewhat worse,"36,000 to 70,000 pkr"
Job,26 to 30,1 to 2 year,Much better,Stayed the same,Almost every time,Sometimes,Much better,Sometimes,Every time,Never,Somewhat better,Much better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,1 to 2 year,Stayed the same,Much better,Almost every time,Sometimes,Somewhat better,Sometimes,Almost every time,Almost never,Somewhat worse,Somewhat better,"71,000 to 100,000 pkr"
Job,26 to 30,1 to 2 year,Stayed the same,Somewhat better,Almost every time,Often,Somewhat better,Often,Occasionally/Sometimes,Almost every time,Stayed the same,Much better,"36,000 to 70,000 pkr"
Freelancing,26 to 30,1 to 2 year,Stayed the same,Somewhat better,Every time,Often,Much worse,Often,Almost every time,Almost every time,Somewhat better,Much better,"71,000 to 100,000 pkr"
Job,Less than 20,Less than 1 year,Somewhat better,Somewhat better,Every time,Always,Somewhat better,Never,Almost every time,Occasionally/Sometimes,Somewhat better,Much better,"71,000 to 100,000 pkr"
Job,21 to 25,2 to 3 year,Much better,Much better,Occasionally/Sometimes,Often,Much better,Always,Every time,Every time,Much better,Much better,"more than 135,000 pkr"
